Artist,Birth,Death,Age,Alive?,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title,relPop,relPopEarly,relPopChange,closeMonth,closeYear
pablo picasso ,1881,1973,92,0,Visage n° 202 (A.R. 495),1963,USD,12500.0,7500.0,10000.0,1,1,0,20,Picasso Ceramics Online,,,,06,19
christian boltanski ,1944,0,78,1,El Caso (Parkett 22),0,USD,1093.75,1000.0,1500.0,1,0,0,26,PARKETT: FIRST FIFTY EDITIONS 1984-1997,,,,09,13
norman rockwell ,1894,1978,84,0,Norman Rockwell Visits a Country Editor,1946,USD,11589000.0,10000000.0,15000000.0,1,0,(83.8 x 160 cm.),19,AMERICAN ART,,,,11,15
george chinnery ,1774,1852,78,0,A junk moored at Macao,0,USD,12500.0,1500.0,2250.0,1,1,(14 x 20.3cm.),05,Topographical Pictures including China Trade Paintings,,,,11,20
antonio saura ,1930,1998,68,0,La Cámara Ardiente o Los Amores Célebres,0,USD,1250.0,1250.0,1875.0,1,-1,0,17,Modern Edition Online,,,,05,18
paul gauguin ,1848,1903,55,0,Oviri (recto) with Mahna No Varua Ino (verso),1894,USD,212500.0,70000.0,100000.0,1,1,(24.8 x 39.4 cm.),12,IMPRESSIONIST AND MODERN ART DAY SALE,,,,11,19
dennis hopper ,1936,2010,74,0,"Roy Lichtenstein in His Studio, 1964",2009,USD,15000.0,15000.0,20000.0,1,-1,(208.6 x 304.8 cm.),15,First Open | Online,,,,12,20
howard hodgkin ,1932,2017,85,0,Flowering Palm,0,USD,15625.0,8750.0,12500.0,1,1,0,01,Prints & Multiples,,,,04,21
brassaï ,1899,1984,85,0,"Tête Réduite (femme), vers 1935",0,USD,2100.0,2100.0,3150.0,1,-1,(9 ½ x 7 in.),10,PHOTOGRAPHIES,,,,11,17
wassily kandinsky ,1866,1944,78,0,Zeichnung für 'Lithographie No II',1925,USD,85937.5,25000.0,37500.0,1,1,(34.6 x 22.6 cm.),19,IMPRESSIONIST AND MODERN WORKS ON PAPER,,,,06,19
mary corse ,1945,0,77,1,Untitled,0,USD,47500.0,40000.0,60000.0,1,0,(61 x 61 cm.),27,POST-WAR TO PRESENT,,,,09,19
gerrit rietveld ,1888,1964,76,0,A pair of Zig-Zag elm chairs,1932,USD,28875.0,8400.0,12600.0,1,1,0,01,MODERN ART,,,,12,15
dan flavin ,1933,1996,63,0,For Malevich: two prints,0,USD,20000.0,3000.0,5000.0,1,1,(572 x 787 mm.),20,Contemporary Edition,,,,07,21
mark tobey ,1890,1976,86,0,Gold and Black Night,1965,USD,43750.0,12500.0,18750.0,1,1,(46.5 x 32.2cm.),28,First Open: Post-War & Contemporary Art Online,,,,07,20
sam francis ,1924,1994,70,0,Ebis Link,1963,USD,562500.0,500000.0,700000.0,1,0,(117 x 87 cm.),14,POST-WAR & CONTEMPORARY ART DAY SALE,,,,05,21
ray johnson ,1927,1995,68,0,Olive Oyl,0,USD,2500.0,3000.0,5000.0,1,-1,(13.3 x 9.5 x 5.1 cm.),10,The Comedians,,,,04,18
jörg immendorff ,1945,2007,62,0,Peer Gynt,1992,USD,51975.0,31500.0,52500.0,1,0,0,06,POST-WAR AND CONTEMPORARY ART,,,,11,13
